"filename", "language", "JavaScript", "Markdown", "JSON", "YAML", "CSS", "XML", "HTML", "comment", "blank", "total"
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\ContentMainAnimate\ContentMainAnimate.module.css", "CSS", 0, 0, 0, 0, 186, 0, 0, 0, 10, 196
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\Contentmain.js", "JavaScript", 494, 0, 0, 0, 0, 0, 0, 38, 50, 582
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\SuspenceImage\SuspenceImg.js", "JavaScript", 32, 0, 0, 0, 0, 0, 0, 0, 7, 39
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\comments\Addcomment.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 0, 1, 38
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\comments\Addcomment.module.css", "CSS", 0, 0, 0, 0, 63, 0, 0, 5, 4, 72
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\comments\Comments.js", "JavaScript", 108, 0, 0, 0, 0, 0, 0, 7, 6, 121
"e:\Instagram Clone\Eimentum\src\Home\Feed\content\comments\Comments.module.css", "CSS", 0, 0, 0, 0, 93, 0, 0, 8, 4, 105
"e:\Instagram Clone\Eimentum\src\Home\Home.js", "JavaScript", 105, 0, 0, 0, 0, 0, 0, 0, 10, 115
"e:\Instagram Clone\Eimentum\src\Home\Home.module.css", "CSS", 0, 0, 0, 0, 26, 0, 0, 1, 1, 28
"e:\Instagram Clone\Eimentum\src\Home\Top Bar\Header.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 0, 7, 47
"e:\Instagram Clone\Eimentum\src\Home\Top Bar\Header.module.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 5, 8, 127
"e:\Instagram Clone\Eimentum\src\Like\Like.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 6, 100
"e:\Instagram Clone\Eimentum\src\Like\Like.module.css", "CSS", 0, 0, 0, 0, 154, 0, 0, 0, 11, 165
"e:\Instagram Clone\Eimentum\src\Main.js", "JavaScript", 55, 0, 0, 0, 0, 0, 0, 0, 8, 63
"e:\Instagram Clone\Eimentum\src\Messenger\Box\Box.js", "JavaScript", 118, 0, 0, 0, 0, 0, 0, 23, 9, 150
"e:\Instagram Clone\Eimentum\src\Messenger\Box\Box.module.css", "CSS", 0, 0, 0, 0, 166, 0, 0, 22, 4, 192
"e:\Instagram Clone\Eimentum\src\Messenger\Box\Messages\Messages.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 0, 21, 223
"e:\Instagram Clone\Eimentum\src\Messenger\Box\Messages\Messages.module.css", "CSS", 0, 0, 0, 0, 320, 0, 0, 38, 43, 401
"e:\Instagram Clone\Eimentum\src\Messenger\Messenger.js", "JavaScript", 71, 0, 0, 0, 0, 0, 0, 0, 9, 80
"e:\Instagram Clone\Eimentum\src\Messenger\Messenger.module.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 4, 8, 126
"e:\Instagram Clone\Eimentum\src\Page404\Page404.module.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 0, 1, 28
"e:\Instagram Clone\Eimentum\src\Page404\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 0, 0, 3, 27
"e:\Instagram Clone\Eimentum\src\Profile\Container\Container.js", "JavaScript", 411, 0, 0, 0, 0, 0, 0, 0, 11, 422
